"시군구명","월","분류","성별","연령대","매출건수","매출금액합계","데이터기준일"
"창원시 의창구","1","교육","남성","20대","21","191400","20240101"
"창원시 의창구","1","교육","남성","30대","147","4508030","20240101"
"창원시 의창구","1","교육","남성","40대","553","57949252","20240101"
"창원시 의창구","1","교육","남성","50대","60","6155280","20240101"
"창원시 의창구","1","교육","남성","60대","10","24800","20240101"
"창원시 의창구","1","교육","여성","10이하","5","7600","20240101"
"창원시 의창구","1","교육","여성","20대","16","128350","20240101"
"창원시 의창구","1","교육","여성","30대","171","5603750","20240101"
"창원시 의창구","1","교육","여성","40대","552","55030250","20240101"
"창원시 의창구","1","교육","여성","50대","19","2458900","20240101"
"창원시 의창구","1","교육","여성","60대","3","11000","20240101"
"창원시 의창구","1","기타","남성","20대","23","156130","20240101"
"창원시 의창구","1","기타","남성","30대","194","3371370","20240101"
"창원시 의창구","1","기타","남성","40대","296","6650051","20240101"
"창원시 의창구","1","기타","남성","50대","159","4045860","20240101"
"창원시 의창구","1","기타","남성","60대","52","5617728","20240101"
"창원시 의창구","1","기타","여성","20대","17","257890","20240101"
"창원시 의창구","1","기타","여성","30대","240","29193450","20240101"
"창원시 의창구","1","기타","여성","40대","212","14055960","20240101"
"창원시 의창구","1","기타","여성","50대","70","949380","20240101"
"창원시 의창구","1","기타","여성","60대","8","134560","20240101"
"창원시 의창구","1","기타","여성","70대이상","3","60000","20240101"
"창원시 의창구","1","내구재","남성","10이하","6","5300","20240101"
"창원시 의창구","1","내구재","남성","20대","492","333130","20240101"
"창원시 의창구","1","내구재","남성","30대","140","1753470","20240101"
"창원시 의창구","1","내구재","남성","40대","29","1051930","20240101"
"창원시 의창구","1","내구재","남성","50대","52","3341640","20240101"
"창원시 의창구","1","내구재","남성","60대","82","1660300","20240101"
"창원시 의창구","1","내구재","여성","20대","140","83540","20240101"
"창원시 의창구","1","내구재","여성","30대","21","5000","20240101"
"창원시 의창구","1","내구재","여성","40대","9","6580","20240101"
"창원시 의창구","1","내구재","여성","50대","23","348930","20240101"
"창원시 의창구","1","내구재","여성","60대","16","364050","20240101"
"창원시 의창구","1","레포츠/문화/취미","남성","10이하","380","1242100","20240101"
"창원시 의창구","1","레포츠/문화/취미","남성","20대","10864","66795400","20240101"
"창원시 의창구","1","레포츠/문화/취미","남성","30대","2387","24793440","20240101"
"창원시 의창구","1","레포츠/문화/취미","남성","40대","646","17184870","20240101"
"창원시 의창구","1","레포츠/문화/취미","남성","50대","497","21244740","20240101"
"창원시 의창구","1","레포츠/문화/취미","남성","60대","136","15883140","20240101"
"창원시 의창구","1","레포츠/문화/취미","남성","70대이상","36","2210470","20240101"
"창원시 의창구","1","레포츠/문화/취미","여성","10이하","33","110000","20240101"
"창원시 의창구","1","레포츠/문화/취미","여성","20대","603","6591300","20240101"
"창원시 의창구","1","레포츠/문화/취미","여성","30대","171","5308920","20240101"
"창원시 의창구","1","레포츠/문화/취미","여성","40대","131","1364780","20240101"
"창원시 의창구","1","레포츠/문화/취미","여성","50대","144","3182601","20240101"
"창원시 의창구","1","레포츠/문화/취미","여성","60대","23","743150","20240101"
"창원시 의창구","1","서비스","남성","10이하","62","202600","20240101"
"창원시 의창구","1","서비스","남성","20대","1302","7146060","20240101"
"창원시 의창구","1","서비스","남성","30대","332","2414305","20240101"
"창원시 의창구","1","서비스","남성","40대","193","1954650","20240101"
"창원시 의창구","1","서비스","남성","50대","60","764650","20240101"
"창원시 의창구","1","서비스","남성","60대","19","248880","20240101"
"창원시 의창구","1","서비스","남성","70대이상","20","337500","20240101"
"창원시 의창구","1","서비스","여성","20대","148","761740","20240101"
"창원시 의창구","1","서비스","여성","30대","115","895180","20240101"
"창원시 의창구","1","서비스","여성","40대","57","1965620","20240101"
"창원시 의창구","1","서비스","여성","50대","57","465370","20240101"
"창원시 의창구","1","서비스","여성","60대","9","415000","20240101"
"창원시 의창구","1","식생활","남성","10이하","98","719970","20240101"
"창원시 의창구","1","식생활","남성","20대","17607","326153010","20240101"
"창원시 의창구","1","식생활","남성","30대","21537","493638695","20240101"
"창원시 의창구","1","식생활","남성","40대","21946","565368891","20240101"
"창원시 의창구","1","식생활","남성","50대","18278","562991301","20240101"
"창원시 의창구","1","식생활","남성","60대","7462","245718170","20240101"
"창원시 의창구","1","식생활","남성","70대이상","1134","41623610","20240101"
"창원시 의창구","1","식생활","여성","10이하","43","255300","20240101"
"창원시 의창구","1","식생활","여성","20대","7277","126516385","20240101"
"창원시 의창구","1","식생활","여성","30대","12797","233605023","20240101"
"창원시 의창구","1","식생활","여성","40대","13090","289210298","20240101"
"창원시 의창구","1","식생활","여성","50대","10743","276147713","20240101"
"창원시 의창구","1","식생활","여성","60대","3596","114205539","20240101"
"창원시 의창구","1","식생활","여성","70대이상","388","12972050","20240101"
"창원시 의창구","1","여행","남성","20대","54","2535700","20240101"
"창원시 의창구","1","여행","남성","30대","227","9608300","20240101"
"창원시 의창구","1","여행","남성","40대","284","11876900","20240101"
"창원시 의창구","1","여행","남성","50대","296","11876000","20240101"
"창원시 의창구","1","여행","남성","60대","140","4615000","20240101"
"창원시 의창구","1","여행","남성","70대이상","12","334000","20240101"
"창원시 의창구","1","여행","여성","20대","11","242000","20240101"
"창원시 의창구","1","여행","여성","30대","79","3390100","20240101"
"창원시 의창구","1","여행","여성","40대","100","4432600","20240101"
"창원시 의창구","1","여행","여성","50대","80","2748000","20240101"
"창원시 의창구","1","여행","여성","60대","19","485000","20240101"
"창원시 의창구","1","유통","남성","10이하","954","3807680","20240101"
"창원시 의창구","1","유통","남성","20대","31346","216385530","20240101"
"창원시 의창구","1","유통","남성","30대","29017","351724630","20240101"
"창원시 의창구","1","유통","남성","40대","27649","453963032","20240101"
"창원시 의창구","1","유통","남성","50대","20133","367350810","20240101"
"창원시 의창구","1","유통","남성","60대","8908","172977590","20240101"
"창원시 의창구","1","유통","남성","70대이상","1461","37465060","20240101"
"창원시 의창구","1","유통","여성","10이하","336","1674600","20240101"
"창원시 의창구","1","유통","여성","20대","8329","77670660","20240101"
"창원시 의창구","1","유통","여성","30대","13627","194175970","20240101"
"창원시 의창구","1","유통","여성","40대","14079","276645100","20240101"
"창원시 의창구","1","유통","여성","50대","11657","273332550","20240101"
"창원시 의창구","1","유통","여성","60대","6070","156141400","20240101"
"창원시 의창구","1","유통","여성","70대이상","903","25250240","20240101"
"창원시 의창구","1","유흥","남성","10이하","18","78000","20240101"
"창원시 의창구","1","유흥","남성","20대","912","12266118","20240101"
"창원시 의창구","1","유흥","남성","30대","205","15678500","20240101"
"창원시 의창구","1","유흥","남성","40대","164","22535800","20240101"
"창원시 의창구","1","유흥","남성","50대","183","31237810","20240101"
"창원시 의창구","1","유흥","남성","60대","43","7090000","20240101"
"창원시 의창구","1","유흥","여성","10이하","3","10000","20240101"
"창원시 의창구","1","유흥","여성","20대","57","1077900","20240101"
"창원시 의창구","1","유흥","여성","30대","18","1542200","20240101"
"창원시 의창구","1","유흥","여성","40대","24","1894300","20240101"
"창원시 의창구","1","유흥","여성","50대","6","29000","20240101"
"창원시 의창구","1","의료/미용","남성","10이하","3","38500","20240101"
"창원시 의창구","1","의료/미용","남성","20대","3176","86150082","20240101"
"창원시 의창구","1","의료/미용","남성","30대","7572","341980943","20240101"
"창원시 의창구","1","의료/미용","남성","40대","8399","365919718","20240101"
"창원시 의창구","1","의료/미용","남성","50대","6879","349210993","20240101"
