"시군구명","시간대","분류","매출건수","매출금액합계","데이터기준일"
"창원시 의창구","0","교육","6","865000","20240101"
"창원시 의창구","0","기타","3","36000","20240101"
"창원시 의창구","0","내구재","233","101080","20240101"
"창원시 의창구","0","레포츠/문화/취미","6626","40106480","20240101"
"창원시 의창구","0","서비스","483","2473435","20240101"
"창원시 의창구","0","식생활","13951","659372882","20240101"
"창원시 의창구","0","여행","144","7165000","20240101"
"창원시 의창구","0","유통","38810","297855595","20240101"
"창원시 의창구","0","유흥","3336","368459200","20240101"
"창원시 의창구","0","의료/미용","112","7322530","20240101"
"창원시 의창구","0","자동차","148","4504398","20240101"
"창원시 의창구","1","내구재","51","20940","20240101"
"창원시 의창구","1","레포츠/문화/취미","4621","29511550","20240101"
"창원시 의창구","1","서비스","341","1583805","20240101"
"창원시 의창구","1","식생활","7157","324404267","20240101"
"창원시 의창구","1","여행","130","6223500","20240101"
"창원시 의창구","1","유통","24414","186431251","20240101"
"창원시 의창구","1","유흥","2188","242717600","20240101"
"창원시 의창구","1","의료/미용","52","2988120","20240101"
"창원시 의창구","1","자동차","38","1336686","20240101"
"창원시 의창구","2","기타","3","1314000","20240101"
"창원시 의창구","2","내구재","22","10380","20240101"
"창원시 의창구","2","레포츠/문화/취미","2552","15060450","20240101"
"창원시 의창구","2","서비스","141","592175","20240101"
"창원시 의창구","2","식생활","3356","146373010","20240101"
"창원시 의창구","2","여행","46","2306001","20240101"
"창원시 의창구","2","유통","17070","130024070","20240101"
"창원시 의창구","2","유흥","1369","152527489","20240101"
"창원시 의창구","2","의료/미용","38","3347890","20240101"
"창원시 의창구","2","자동차","8","119600","20240101"
"창원시 의창구","3","내구재","24","10390","20240101"
"창원시 의창구","3","레포츠/문화/취미","1404","8384600","20240101"
"창원시 의창구","3","서비스","45","126270","20240101"
"창원시 의창구","3","식생활","1500","61417961","20240101"
"창원시 의창구","3","여행","31","1448500","20240101"
"창원시 의창구","3","유통","11231","81959870","20240101"
"창원시 의창구","3","유흥","613","70139400","20240101"
"창원시 의창구","3","의료/미용","16","1117110","20240101"
"창원시 의창구","3","자동차","9","261841","20240101"
"창원시 의창구","4","내구재","49","26240","20240101"
"창원시 의창구","4","레포츠/문화/취미","689","3712400","20240101"
"창원시 의창구","4","서비스","50","155965","20240101"
"창원시 의창구","4","식생활","621","23930410","20240101"
"창원시 의창구","4","여행","12","524000","20240101"
"창원시 의창구","4","유통","9104","68715630","20240101"
"창원시 의창구","4","유흥","256","31056500","20240101"
"창원시 의창구","4","의료/미용","6","1112330","20240101"
"창원시 의창구","4","자동차","44","2433845","20240101"
"창원시 의창구","5","교육","4","950000","20240101"
"창원시 의창구","5","내구재","26","4900","20240101"
"창원시 의창구","5","레포츠/문화/취미","316","7800800","20240101"
"창원시 의창구","5","서비스","19","77880","20240101"
"창원시 의창구","5","식생활","390","10981800","20240101"
"창원시 의창구","5","여행","3","46000","20240101"
"창원시 의창구","5","유통","15496","125242980","20240101"
"창원시 의창구","5","유흥","70","5224400","20240101"
"창원시 의창구","5","의료/미용","216","7688860","20240101"
"창원시 의창구","5","자동차","1579","93316142","20240101"
"창원시 의창구","5","주거생활","6","232100","20240101"
"창원시 의창구","6","내구재","32","22400","20240101"
"창원시 의창구","6","레포츠/문화/취미","987","125592300","20240101"
"창원시 의창구","6","서비스","27","30380","20240101"
"창원시 의창구","6","식생활","1515","29179521","20240101"
"창원시 의창구","6","여행","9","341000","20240101"
"창원시 의창구","6","유통","38505","313286960","20240101"
"창원시 의창구","6","유흥","13","4009400","20240101"
"창원시 의창구","6","의료/미용","595","21854940","20240101"
"창원시 의창구","6","자동차","10273","609841502","20240101"
"창원시 의창구","6","주거생활","85","6883100","20240101"
"창원시 의창구","7","교육","20","4387300","20240101"
"창원시 의창구","7","기타","15","900660","20240101"
"창원시 의창구","7","내구재","83","847270","20240101"
"창원시 의창구","7","레포츠/문화/취미","1229","163526240","20240101"
"창원시 의창구","7","서비스","42","125800","20240101"
"창원시 의창구","7","식생활","10384","93867465","20240101"
"창원시 의창구","7","여행","30","1030000","20240101"
"창원시 의창구","7","유통","63114","526536920","20240101"
"창원시 의창구","7","유흥","6","428000","20240101"
"창원시 의창구","7","의료/미용","872","22645130","20240101"
"창원시 의창구","7","자동차","16054","920329544","20240101"
"창원시 의창구","7","주거생활","764","54780176","20240101"
"창원시 의창구","8","교육","60","5978534","20240101"
"창원시 의창구","8","기타","240","35690625","20240101"
"창원시 의창구","8","내구재","848","14889227","20240101"
"창원시 의창구","8","레포츠/문화/취미","595","12264150","20240101"
"창원시 의창구","8","서비스","1171","12099521","20240101"
"창원시 의창구","8","식생활","39540","279187118","20240101"
"창원시 의창구","8","여행","62","2034500","20240101"
"창원시 의창구","8","유통","79092","728928858","20240101"
"창원시 의창구","8","유흥","4","268000","20240101"
"창원시 의창구","8","의료/미용","9494","580609037","20240101"
"창원시 의창구","8","의생활","7","661100","20240101"
"창원시 의창구","8","자동차","21582","1173976908","20240101"
"창원시 의창구","8","주거생활","2316","202160464","20240101"
"창원시 의창구","9","교육","157","32672575","20240101"
"창원시 의창구","9","기타","4562","325963771","20240101"
"창원시 의창구","9","내구재","1148","38689430","20240101"
"창원시 의창구","9","레포츠/문화/취미","1687","33052663","20240101"
