"시군구명","월","분류","유입지","매출건수","매출금액합계","데이터기준일"
"창원시 의창구","1","교육","경남","3056","308999322","20240101"
"창원시 의창구","1","교육","부산","7","34800","20240101"
"창원시 의창구","1","기타","경기","3","30250","20240101"
"창원시 의창구","1","기타","경남","2421","165341552","20240101"
"창원시 의창구","1","기타","부산","4","87560","20240101"
"창원시 의창구","1","기타","서울","130","4562164","20240101"
"창원시 의창구","1","내구재","경기","3","900","20240101"
"창원시 의창구","1","내구재","경남","1449","68438919","20240101"
"창원시 의창구","1","내구재","경북","16","8180","20240101"
"창원시 의창구","1","내구재","대구","17","309750","20240101"
"창원시 의창구","1","내구재","대전","3","300","20240101"
"창원시 의창구","1","내구재","부산","162","91670","20240101"
"창원시 의창구","1","내구재","서울","14","89656","20240101"
"창원시 의창구","1","내구재","울산","14","3980","20240101"
"창원시 의창구","1","내구재","전남","7","22420","20240101"
"창원시 의창구","1","내구재","충남","11","600","20240101"
"창원시 의창구","1","내구재","충북","5","700","20240101"
"창원시 의창구","1","레포츠/문화/취미","강원","52","290300","20240101"
"창원시 의창구","1","레포츠/문화/취미","경기","146","1027200","20240101"
"창원시 의창구","1","레포츠/문화/취미","경남","16035","244540851","20240101"
"창원시 의창구","1","레포츠/문화/취미","경북","283","21535800","20240101"
"창원시 의창구","1","레포츠/문화/취미","광주","4","8000","20240101"
"창원시 의창구","1","레포츠/문화/취미","대구","67","1362000","20240101"
"창원시 의창구","1","레포츠/문화/취미","대전","27","116700","20240101"
"창원시 의창구","1","레포츠/문화/취미","부산","226","2284700","20240101"
"창원시 의창구","1","레포츠/문화/취미","서울","158","944300","20240101"
"창원시 의창구","1","레포츠/문화/취미","세종","10","47200","20240101"
"창원시 의창구","1","레포츠/문화/취미","울산","22","125100","20240101"
"창원시 의창구","1","레포츠/문화/취미","인천","51","252200","20240101"
"창원시 의창구","1","레포츠/문화/취미","전남","17","111100","20240101"
"창원시 의창구","1","레포츠/문화/취미","전북","19","64300","20240101"
"창원시 의창구","1","레포츠/문화/취미","제주","3","13000","20240101"
"창원시 의창구","1","레포츠/문화/취미","충남","29","410000","20240101"
"창원시 의창구","1","레포츠/문화/취미","충북","23","161900","20240101"
"창원시 의창구","1","서비스","경기","30","50520","20240101"
"창원시 의창구","1","서비스","경남","3572","55920956","20240101"
"창원시 의창구","1","서비스","경북","11","9360","20240101"
"창원시 의창구","1","서비스","광주","7","38500","20240101"
"창원시 의창구","1","서비스","대구","39","162760","20240101"
"창원시 의창구","1","서비스","대전","7","15540","20240101"
"창원시 의창구","1","서비스","부산","21","30550","20240101"
"창원시 의창구","1","서비스","서울","35","183250","20240101"
"창원시 의창구","1","서비스","울산","15","69970","20240101"
"창원시 의창구","1","서비스","인천","3","5000","20240101"
"창원시 의창구","1","서비스","전남","11","4140","20240101"
"창원시 의창구","1","식생활","강원","9","141800","20240101"
"창원시 의창구","1","식생활","경기","176","3445120","20240101"
"창원시 의창구","1","식생활","경남","139716","3553121705","20240101"
"창원시 의창구","1","식생활","경북","50","1033080","20240101"
"창원시 의창구","1","식생활","광주","35","838500","20240101"
"창원시 의창구","1","식생활","대구","187","3593450","20240101"
"창원시 의창구","1","식생활","대전","24","652700","20240101"
"창원시 의창구","1","식생활","부산","1765","40732070","20240101"
"창원시 의창구","1","식생활","서울","452","10729920","20240101"
"창원시 의창구","1","식생활","세종","9","262000","20240101"
"창원시 의창구","1","식생활","울산","68","2252880","20240101"
"창원시 의창구","1","식생활","인천","54","714600","20240101"
"창원시 의창구","1","식생활","전남","9","431500","20240101"
"창원시 의창구","1","식생활","전북","4","6100","20240101"
"창원시 의창구","1","식생활","제주","3","10700","20240101"
"창원시 의창구","1","식생활","충남","6","29400","20240101"
"창원시 의창구","1","식생활","충북","16","563400","20240101"
"창원시 의창구","1","여행","경기","10","700000","20240101"
"창원시 의창구","1","여행","경남","1207","45318800","20240101"
"창원시 의창구","1","여행","경북","6","320000","20240101"
"창원시 의창구","1","여행","대전","3","285000","20240101"
"창원시 의창구","1","여행","부산","80","3436400","20240101"
"창원시 의창구","1","여행","서울","3","165000","20240101"
"창원시 의창구","1","여행","인천","6","380000","20240101"
"창원시 의창구","1","유통","강원","38","428530","20240101"
"창원시 의창구","1","유통","경기","1204","12772350","20240101"
"창원시 의창구","1","유통","경남","159020","2540448744","20240101"
"창원시 의창구","1","유통","경북","281","3022560","20240101"
"창원시 의창구","1","유통","광주","108","1132500","20240101"
"창원시 의창구","1","유통","대구","676","5553360","20240101"
"창원시 의창구","1","유통","대전","167","1081320","20240101"
"창원시 의창구","1","유통","부산","3261","31291530","20240101"
"창원시 의창구","1","유통","서울","1839","15962970","20240101"
"창원시 의창구","1","유통","세종","39","361670","20240101"
"창원시 의창구","1","유통","울산","280","1662840","20240101"
"창원시 의창구","1","유통","인천","221","1798430","20240101"
"창원시 의창구","1","유통","전남","62","5394110","20240101"
"창원시 의창구","1","유통","전북","23","300720","20240101"
"창원시 의창구","1","유통","제주","26","377590","20240101"
"창원시 의창구","1","유통","충남","92","304800","20240101"
"창원시 의창구","1","유통","충북","90","1200740","20240101"
"창원시 의창구","1","유흥","경기","4","16000","20240101"
"창원시 의창구","1","유흥","경남","2026","141732518","20240101"
"창원시 의창구","1","유흥","경북","3","8000","20240101"
"창원시 의창구","1","유흥","대전","3","1020000","20240101"
"창원시 의창구","1","유흥","전북","3","9000","20240101"
"창원시 의창구","1","의료/미용","강원","3","57600","20240101"
"창원시 의창구","1","의료/미용","경기","39","1657760","20240101"
"창원시 의창구","1","의료/미용","경남","56562","2635366185","20240101"
"창원시 의창구","1","의료/미용","경북","12","3633210","20240101"
"창원시 의창구","1","의료/미용","광주","7","543550","20240101"
"창원시 의창구","1","의료/미용","대구","20","735880","20240101"
"창원시 의창구","1","의료/미용","대전","9","10084960","20240101"
"창원시 의창구","1","의료/미용","부산","330","11674560","20240101"
"창원시 의창구","1","의료/미용","서울","38","572100","20240101"
"창원시 의창구","1","의료/미용","울산","10","12145500","20240101"
"창원시 의창구","1","의료/미용","인천","3","3000","20240101"
"창원시 의창구","1","의료/미용","충남","6","2008500","20240101"
"창원시 의창구","1","의생활","경남","908","56887220","20240101"
"창원시 의창구","1","자동차","경기","14","560020","20240101"
"창원시 의창구","1","자동차","경남","31588","1899848176","20240101"
"창원시 의창구","1","자동차","경북","6","318300","20240101"
"창원시 의창구","1","자동차","대구","35","1747076","20240101"
"창원시 의창구","1","자동차","부산","73","3018278","20240101"
"창원시 의창구","1","자동차","서울","28","1316602","20240101"
"창원시 의창구","1","자동차","세종","3","125000","20240101"
"창원시 의창구","1","자동차","인천","12","776300","20240101"
"창원시 의창구","1","자동차","충남","3","160000","20240101"
"창원시 의창구","1","주거생활","경기","3","159830","20240101"
"창원시 의창구","1","주거생활","경남","2006","136349080","20240101"
"창원시 의창구","1","주거생활","경북","44","2238500","20240101"
"창원시 의창구","1","주거생활","대구","3","262500","20240101"
"창원시 의창구","1","주거생활","부산","23","1231950","20240101"
"창원시 의창구","1","주거생활","서울","3","191000","20240101"
"창원시 의창구","1","주거생활","인천","3","96030","20240101"
"창원시 의창구","2","교육","경기","3","51100","20240101"
"창원시 의창구","2","교육","경남","3121","305144920","20240101"
"창원시 의창구","2","교육","대전","4","444600","20240101"
"창원시 의창구","2","교육","부산","3","22000","20240101"
"창원시 의창구","2","교육","울산","3","700000","20240101"
"창원시 의창구","2","기타","경남","2322","178370521","20240101"
"창원시 의창구","2","기타","대구","3","202191","20240101"
"창원시 의창구","2","기타","부산","4","170940","20240101"
"창원시 의창구","2","기타","서울","202","10144307","20240101"
"창원시 의창구","2","내구재","경기","3","2240","20240101"
"창원시 의창구","2","내구재","경남","1401","82675016","20240101"
"창원시 의창구","2","내구재","경북","4","1600","20240101"
"창원시 의창구","2","내구재","광주","7","2100","20240101"
"창원시 의창구","2","내구재","부산","93","44150","20240101"
"창원시 의창구","2","내구재","서울","3","5000","20240101"
"창원시 의창구","2","내구재","울산","3","700","20240101"
"창원시 의창구","2","레포츠/문화/취미","강원","17","206500","20240101"
"창원시 의창구","2","레포츠/문화/취미","경기","80","316300","20240101"
"창원시 의창구","2","레포츠/문화/취미","경남","14041","218571423","20240101"
"창원시 의창구","2","레포츠/문화/취미","경북","413","41670600","20240101"
"창원시 의창구","2","레포츠/문화/취미","대구","99","2202300","20240101"
"창원시 의창구","2","레포츠/문화/취미","대전","13","41900","20240101"
"창원시 의창구","2","레포츠/문화/취미","부산","171","792600","20240101"
"창원시 의창구","2","레포츠/문화/취미","서울","55","427200","20240101"
"창원시 의창구","2","레포츠/문화/취미","울산","10","625500","20240101"
"창원시 의창구","2","레포츠/문화/취미","인천","44","1450650","20240101"
"창원시 의창구","2","레포츠/문화/취미","전남","24","75200","20240101"
"창원시 의창구","2","레포츠/문화/취미","전북","7","41500","20240101"
"창원시 의창구","2","레포츠/문화/취미","충북","16","79000","20240101"
